Order Date,Order ID,Payment Instrument Type,Website,Shipment Date,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
02/09/16,113-7034508-2257852,Visa - 7632,Amazon.com,02/11/16,CA,90007-2338,Shipped,USPS(9341989949137124567661),$8.40,$0.00,$0.76,$0.00,$0.76,$9.16
02/20/16,113-4661176-0808255,Visa - 9780,Amazon.com,02/22/16,CA,90007-2338,Shipped,FEDEX(549613277821),$77.99,$0.00,$0.00,$0.00,$0.00,$77.99
02/23/16,113-3119015-9063439,Visa - 9780,Amazon.com,02/24/16,CA,90007-2338,Shipped,USPS(9361289692090004366603),$33.97,$0.00,$0.72,$0.00,$0.72,$34.69
04/03/16,110-1206225-1538629,Visa - 9780,Amazon.com,04/04/16,CA,90007-2338,Shipped,USPS(9361289692090040717872),$8.09,$0.00,$0.73,$0.00,$0.73,$8.82
04/03/16,110-0284324-7044203,Visa - 9780,Amazon.com,04/04/16,CA,90007-2338,Shipped,USPS(9361289692090040717872),$7.72,$0.00,$0.00,$0.00,$0.00,$7.72
04/24/16,107-9327312-1265827,Visa - 9780,Amazon.com,04/25/16,CA,90007-2338,Shipped,USPS(9374889692090043395738),$14.24,$0.00,$1.28,$0.00,$1.28,$15.52
07/08/16,107-0162302-0163431,Visa - 9780,Amazon.com,07/08/16,CA,90003-1110,Shipped,ONTRAC(C12340003193078),$49.99,$0.00,$4.50,$0.00,$4.50,$54.49
07/25/16,113-7971889-1989008,Gift Certificate/Card and Visa - 7632,Amazon.com,07/26/16,MA,01970-1252,Shipped,AMZN_US(TBA043970964000),$27.94,$0.00,$1.75,$0.00,$1.75,$29.69
09/21/16,113-5904920-8209039,American Express - 1003,Amazon.com,09/22/16,IL,60640-6107,Shipped,AMZN_US(TBA079926588000),$19.87,$0.00,$0.00,$0.00,$0.00,$19.87
09/21/16,113-5904920-8209039,American Express - 1003,Amazon.com,09/22/16,IL,60640-6107,Shipped,USPS(9374889682090095646041),$20.82,$0.00,$0.61,$0.00,$0.61,$21.43
09/21/16,113-5959458-8335421,American Express - 1003,Amazon.com,09/22/16,IL,60640-6107,Shipped,United Parcel Service(1ZA5274Y0304283038),$57.99,$0.00,$3.62,$0.00,$3.62,$61.61
09/27/16,113-5390568-0960204,American Express - 1003,Amazon.com,09/30/16,IL,60640-6107,Shipped,USPS(9374889682018810132969),$9.99,$0.00,$0.00,$0.00,$0.00,$9.99
09/27/16,113-9780239-5058661,American Express - 1003,Amazon.com,09/28/16,IL,60640-6107,Shipped,AMZN_US(TBA083393869000),$31.48,$0.00,$1.97,$0.00,$1.97,$33.45
10/17/16,103-8578530-5113815,American Express - 1003,Amazon.com,10/18/16,MA,1970,Shipped,USPS(9374889684090082391839),$19.95,$0.00,$0.00,$3.00,$0.00,$16.95
12/05/16,108-9027372-2172256,American Express - 1003,Amazon.com,12/06/16,CA,90024-5324,Shipped,USPS(9400111699000474552821),$32.88,$0.00,$0.00,$0.00,$0.00,$32.88
12/11/16,108-7835719-0259432,American Express - 1003,Amazon.com,12/12/16,IL,60654-6269,Shipped,UPS(1ZY2F2450300734191),$33.28,$0.00,$0.29,$4.51,$0.29,$29.06
12/31/16,108-6747309-7653000,Gift Certificate/Card and American Express - 1003,Amazon.com,01/02/17,MA,01970-1252,Shipped,UPS(1Z88Y70Y0331894932),$5.98,$0.00,$0.37,$0.00,$0.37,$6.35
12/31/16,108-6747309-7653000,Gift Certificate/Card and American Express - 1003,Amazon.com,01/02/17,MA,01970-1252,Shipped,USPS(9341989684090036980965),$15.00,$0.00,$0.94,$0.00,$0.94,$15.94
12/31/16,108-6747309-7653000,Gift Certificate/Card and American Express - 1003,Amazon.com,01/01/17,MA,01970-1252,Shipped,USPS(9361289684090160668376),$20.25,$0.00,$1.26,$0.00,$1.26,$21.51
02/04/17,102-1244959-9613050,American Express - 1003,Amazon.com,02/04/17,IL,60640-6107,Shipped,USPS(9374889682090211683844),$5.88,$0.00,$0.51,$0.00,$0.51,$6.39
02/04/17,102-9216966-9155455,American Express - 1003,Amazon.com,02/05/17,IL,60640-6107,Shipped,USPS(9400111699000108302204),$13.75,$0.00,$0.00,$0.00,$0.00,$13.75
02/17/17,115-1377335-3492245,American Express - 1003,Amazon.com,02/17/17,IL,60640-6107,Shipped,,$1.49,$0.00,$0.00,$0.00,$0.00,$1.49
02/17/17,115-4133264-6036200,American Express - 1003,Amazon.com,02/17/17,IL,60640-6107,Shipped,AMZN_US(TBA191551715000),$26.99,$0.00,$0.00,$0.00,$0.00,$26.99
02/17/17,115-4133264-6036200,American Express - 1003,Amazon.com,02/17/17,IL,60640-6107,Shipped,AMZN_US(TBA191546716000),$133.90,$0.00,$6.12,$0.00,$6.12,$140.02
03/14/17,106-9089524-4617801,American Express - 1003,Amazon.com,03/15/17,TX,77002-9662,Shipped,UPS(1ZX22W560255965278),$70.99,$0.00,$5.86,$0.00,$5.86,$76.85
03/14/17,106-9532257-4739469,American Express - 1003,Amazon.com,03/16/17,TX,77002-9662,Shipped,UPS(1Z306A450350441992),$25.99,$0.00,$0.00,$0.00,$0.00,$25.99
03/16/17,104-7840392-7206664,American Express - 1003,Amazon.com,03/17/17,TX,77002-9662,Shipped,AMZN_US(TBA215770999000),$10.99,$0.00,$0.00,$0.00,$0.00,$10.99
03/16/17,104-7840392-7206664,American Express - 1003,Amazon.com,03/17/17,TX,77002-9662,Shipped,AMZN_US(TBA215532828000),$47.47,$0.00,$0.00,$0.00,$0.00,$47.47
03/28/17,116-0515789-6946606,American Express - 1003,Amazon.com,03/29/17,TX,77002-9662,Shipped,UPS(1ZX601X80311478461),$448.00,$0.00,$0.00,$0.00,$0.00,$448.00
03/28/17,116-4151814-9901814,American Express - 1003,Amazon.com,03/29/17,TX,77002-9662,Shipped,AMZN_US(TBA227486441000),$61.93,$0.00,$4.04,$0.00,$4.04,$65.97
03/28/17,116-4534485-4806645,American Express - 1003,Amazon.com,03/29/17,TX,77002-9662,Shipped,UPSMI(92748922590001583019348078),$59.00,$0.00,$0.00,$0.00,$0.00,$59.00
03/28/17,116-4903151-8082667,American Express - 1003,Amazon.com,03/29/17,TX,77002-9662,Shipped,UPS(1Z0X118A3592254085),$648.00,$0.00,$0.00,$0.00,$0.00,$648.00
04/23/17,114-6079770-5229814,American Express - 1003,Amazon.com,04/24/17,TX,77002-9662,Shipped,AMZN_US(TBA254403621000),$25.99,$0.00,$0.00,$0.00,$0.00,$25.99
05/23/17,114-9440441-4746609,American Express - 1003,Amazon.com,05/24/17,MA,01970-1252,Shipped,LASERSHIP(LX09904985),$137.36,$0.00,$3.42,$9.20,$3.42,$131.58
05/23/17,114-1713988-1810637,American Express - 1003,Amazon.com,05/24/17,MA,01970-1252,Shipped,USPS(9361289684090238212579),$23.49,$0.00,$1.47,$0.00,$1.47,$24.96
05/25/17,114-3685888-7233829,American Express - 1003,Amazon.com,05/26/17,MA,01970-1252,Shipped,USPS(9361289684090239427507),$10.74,$0.00,$0.67,$0.00,$0.67,$11.41
05/28/17,114-2702912-0997062,American Express - 1003,Amazon.com,05/28/17,MA,01970-1252,Shipped,"FedEx(74893150559663191498),FedEx(74893150559663191498)",$15.57,$0.00,$0.00,$0.00,$0.00,$15.57
05/28/17,114-3225400-3623404,American Express - 1003,Amazon.com,05/29/17,MA,01970-1252,Shipped,USPS(9361289684090240921322),$63.98,$0.00,$3.12,$0.00,$3.12,$67.10
06/14/17,114-0290699-3006644,American Express - 1003,Amazon.com,06/15/17,MA,01970-1252,Shipped,USPS(9374889684090221116996),$14.86,$0.00,$0.00,$0.00,$0.00,$14.86
06/17/17,114-0842575-6807411,American Express - 1003,Amazon.com,06/18/17,MA,01970-1252,Shipped,USPS(9361289684090254515623),$55.99,$0.00,$0.00,$0.00,$0.00,$55.99
06/17/17,114-0842575-6807411,American Express - 1003,Amazon.com,06/17/17,MA,01970-1252,Shipped,USPS(9361289684090254104681),$12.45,$0.00,$0.00,$0.00,$0.00,$12.45
06/17/17,114-8514945-8707415,American Express - 1003,Amazon.com,06/17/17,MA,01970-1252,Shipped,USPS(9361289684090254104681),$7.68,$0.00,$0.48,$0.00,$0.48,$8.16
06/27/17,111-6163163-1001854,American Express - 1003,Amazon.com,06/28/17,MA,01970-1252,Shipped,USPS(9374889684090228262405),$15.99,$0.00,$1.00,$0.00,$1.00,$16.99
